SMILES	MaxAbsEStateIndex	MaxEStateIndex	MinAbsEStateIndex	MinEStateIndex	qed	SPS	MolWt	HeavyAtomMolWt	ExactMolWt	NumValenceElectrons	NumRadicalElectrons	MaxPartialCharge	MinPartialCharge	MaxAbsPartialCharge	MinAbsPartialCharge	FpDensityMorgan1	FpDensityMorgan2	FpDensityMorgan3	BCUT2D_MWHI	BCUT2D_MWLOW	BCUT2D_CHGHI	BCUT2D_CHGLO	BCUT2D_LOGPHI	BCUT2D_LOGPLOW	BCUT2D_MRHI	BCUT2D_MRLOW	AvgIpc	BalabanJ	BertzCT	Chi0	Chi0n	Chi0v	Chi1	Chi1n	Chi1v	Chi2n	Chi2v	Chi3n	Chi3v	Chi4n	Chi4v	HallKierAlpha	Ipc	Kappa1	Kappa2	Kappa3	LabuteASA	PEOE_VSA1	PEOE_VSA10	PEOE_VSA11	PEOE_VSA12	PEOE_VSA13	PEOE_VSA14	PEOE_VSA2	PEOE_VSA3	PEOE_VSA4	PEOE_VSA5	PEOE_VSA6	PEOE_VSA7	PEOE_VSA8	PEOE_VSA9	SMR_VSA1	SMR_VSA10	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	SMR_VSA8	SMR_VSA9	SlogP_VSA1	SlogP_VSA10	SlogP_VSA11	SlogP_VSA12	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	TPSA	EState_VSA1	EState_VSA10	EState_VSA11	EState_VSA2	EState_VSA3	EState_VSA4	EState_VSA5	EState_VSA6	EState_VSA7	EState_VSA8	EState_VSA9	VSA_EState1	VSA_EState10	VSA_EState2	VSA_EState3	VSA_EState4	VSA_EState5	VSA_EState6	VSA_EState7	VSA_EState8	VSA_EState9	FractionCSP3	HeavyAtomCount	NHOHCount	NOCount	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAliphaticRings	NumAmideBonds	NumAromaticCarbocycles	NumAromaticHeterocycles	NumAromaticRings	NumAtomStereoCenters	NumBridgeheadAtoms	NumHAcceptors	NumHDonors	NumHeteroatoms	NumHeterocycles	NumRotatableBonds	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	NumSpiroAtoms	NumUnspecifiedAtomStereoCenters	Phi	RingCount	MolLogP	MolMR	fr_Al_COO	fr_Al_OH	fr_Al_OH_noTert	fr_ArN	fr_Ar_COO	fr_Ar_N	fr_Ar_NH	fr_Ar_OH	fr_COO	fr_COO2	fr_C_O	fr_C_O_noCOO	fr_C_S	fr_HOCCN	fr_Imine	fr_NH0	fr_NH1	fr_NH2	fr_N_O	fr_Ndealkylation1	fr_Ndealkylation2	fr_Nhpyrrole	fr_SH	fr_aldehyde	fr_alkyl_carbamate	fr_alkyl_halide	fr_allylic_oxid	fr_amide	fr_amidine	fr_aniline	fr_aryl_methyl	fr_azide	fr_azo	fr_barbitur	fr_benzene	fr_benzodiazepine	fr_bicyclic	fr_diazo	fr_dihydropyridine	fr_epoxide	fr_ester	fr_ether	fr_furan	fr_guanido	fr_halogen	fr_hdrzine	fr_hdrzone	fr_imidazole	fr_imide	fr_isocyan	fr_isothiocyan	fr_ketone	fr_ketone_Topliss	fr_lactam	fr_lactone	fr_methoxy	fr_morpholine	fr_nitrile	fr_nitro	fr_nitro_arom	fr_nitro_arom_nonortho	fr_nitroso	fr_oxazole	fr_oxime	fr_para_hydroxylation	fr_phenol	fr_phenol_noOrthoHbond	fr_phos_acid	fr_phos_ester	fr_piperdine	fr_piperzine	fr_priamide	fr_prisulfonamd	fr_pyridine	fr_quatN	fr_sulfide	fr_sulfonamd	fr_sulfone	fr_term_acetylene	fr_tetrazole	fr_thiazole	fr_thiocyan	fr_thiophene	fr_unbrch_alkane	fr_urea
CC(C)NCC(O)COc1ccc(NC=O)cc1	10.218730038180484	10.218730038180484	0.23628550957420003	-0.5415030811707402	0.6034630671940003	12.222222222222221	252.31400000000002	232.15399999999997	252.1473925	100	0	0.21101249401502659	-0.4908467820159022	0.4908467820159022	0.21101249401502659	1.3333333333333333	2.0	2.5555555555555554	16.48920739891014	10.26953054320516	2.0533940883642128	-2.1464087279606407	2.1465823333329106	-2.3466987649889943	5.707188765481579	-0.10496133262666013	2.3565519169773705	2.3148441163005495	351.75891861719805	13.380468888623982	10.719375623128162	10.719375623128162	8.613392202930193	5.960168414105217	5.960168414105217	4.314342661557605	4.314342661557605	2.2840193183708903	2.2840193183708903	1.3385115834781638	1.3385115834781638	-1.5899999999999999	9586.453198263944	14.470938452163317	7.681474459998256	5.6531199675558765	107.15502336923599	20.476967556653417	18.460360185545124	0.0	6.410095306116121	0.0	0.0	4.794537184071822	0.0	0.0	0.0	13.847474399381248	24.26546827384644	18.2739835097441	0.0	14.637927532712578	12.097481580799684	0.0	5.316788604006331	0.0	25.993281616277514	18.468426974431825	24.26546827384644	0.0	5.749511833283905	15.37044016181271	5.687386274683562	5.749511833283905	0.0	36.814068288278584	4.794537184071822	0.0	13.847474399381248	24.26546827384644	0.0	0.0	0.0	70.59	6.103966387748303	9.901064578912528	0.0	6.606881964512918	30.433590649144122	0.0	0.0	24.26546827384644	13.847474399381248	10.633577208012662	4.736862953800049	5.4271029383975815	0.0	10.218730038180484	15.317398630493418	0.7077526985567213	0.66207955404384	7.307153046037287	0.0807213211271649	4.779061773163505	0.0	0.46153846153846156	18	3	5	0	0	0	1	1	0	1	1	0	4	3	5	0	8	0	0	0	0	1	6.175452451805512	1	0.9925999999999993	70.76920000000004	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1	11.225674482624928	11.225674482624928	0.019582954054974344	-0.5445641633732365	0.6785464885507252	12.25	280.36799999999994	256.176	280.178692628	112	0	0.2235902219429936	-0.490846782007433	0.490846782007433	0.2235902219429936	1.3	1.95	2.5	16.489213478958483	10.257221434250217	2.0589813301774753	-2.147889571510983	2.15539596763337	-2.3467209212614386	5.899312830492958	-0.11542261128033349	2.4376449243767855	2.3563363318284885	404.08458225614146	14.957819157813608	12.349132135125084	12.349132135125084	9.507239053047545	6.950575336126643	6.950575336126643	4.953883689865724	4.953883689865724	2.6632983004530955	2.6632983004530955	1.5069544755657451	1.5069544755657451	-1.5899999999999999	23498.89707099221	16.464318305268876	8.554863922123701	6.540008302451581	119.88490759802919	20.476967556653417	18.460360185545127	0.0	5.907179729351506	0.0	0.0	4.794537184071822	0.0	0.0	0.0	20.771211599071872	24.26546827384644	24.69480513267011	0.0	14.637927532712576	11.594566004035068	0.0	5.316788604006331	0.0	39.33784043889415	18.468426974431825	24.26546827384644	0.0	5.749511833283905	15.37044016181271	5.687386274683562	5.749511833283905	0.0	36.31115271151397	4.794537184071822	0.0	27.19203322199788	24.26546827384644	0.0	0.0	0.0	70.59	6.103966387748303	9.901064578912528	0.0	12.514061693864424	24.75693069127045	5.687386274683562	0.0	31.18920547353706	13.847474399381248	10.633577208012662	4.736862953800049	5.483674178004535	0.0	11.225674482624928	15.624052113956344	0.7418730689270914	0.6499488864590093	7.4411914181251095	-0.09288256519563465	6.593135083765287	0.0	0.5333333333333333	20	3	5	0	0	0	1	1	0	1	1	0	4	3	5	0	8	0	0	0	0	1	7.0425001336052775	1	1.7727999999999997	80.00320000000004	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C[C@H](NC(=O)[C@H](N)Cc1ccccc1)C(=O)N[C@H](CO)C(=O)O	11.969639156588562	11.969639156588562	0.31488423301419366	-1.4168108611799994	0.3991652523836828	14.391304347826088	323.3490000000001	302.18100000000004	323.14812077199997	126	0	0.3281222461991074	-0.4796517049573457	0.4796517049573457	0.3281222461991074	1.1304347826086956	1.7391304347826086	2.260869565217391	16.37150413229371	10.059385288890503	2.242542154168089	-2.1899397157334226	2.0183601401440265	-2.5387444100370984	5.910874480723648	-0.14284527858932797	2.5216843409070657	2.514619144022156	549.3031471744191	17.405412915006313	12.729538047471236	12.729538047471236	10.845443010499071	7.086999849003596	7.086999849003596	5.108478000068833	5.108478000068833	3.184418196252874	3.184418196252874	1.8288940407570977	1.8288940407570977	-2.45	89499.62062747357	18.59866180048662	8.863217018389268	6.0492603494566275	133.2285310178186	26.580299474856254	12.083681658295921	0.0	11.814359458703011	0.0	5.969305287951849	9.589074368143644	4.794537184071822	0.0	0.0	30.33183534230805	18.90801031431363	0.0	12.648722793660879	24.596666341896878	17.78366474665486	0.0	10.633577208012662	5.733667477162185	31.470081310060518	6.606881964512918	35.89528683400505	0.0	0.0	16.367244685174846	0.0	0.0	0.0	52.72912398829307	20.804433175141472	0.0	12.487188691387619	30.33183534230805	0.0	0.0	0.0	141.75	42.51606919861166	14.383611552215466	0.0	0.0	6.4208216229260096	5.563451491696996	6.923737199690624	0.0	30.33183534230805	10.633577208012662	15.946722266843596	0.0	0.0	34.50191816915992	22.147891399628275	6.682954796843235	-2.597922998058765	5.956210845984786	0.31488423301419366	0.6607302200950222	0.0	0.4	23	6	8	0	0	0	2	1	0	1	3	0	5	5	8	0	8	0	0	0	0	0	7.167129382145191	1	-1.377199999999998	82.37840000000003	1	1	1	0	0	0	0	0	1	1	3	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1	13.162473107555778	13.162473107555778	0.004182431202933712	-1.0337941450684955	0.4084054154434649	11.733333333333333	461.3860000000001	431.14600000000013	460.15317741999996	168	0	0.3029356754434455	-0.48122926244314773	0.48122926244314773	0.3029356754434455	1.1333333333333333	1.8333333333333333	2.433333333333333	35.498262687108905	10.07778980886554	2.265648974687665	-2.2777973895973367	2.223557406853621	-2.4912078994154254	6.417422187998094	-0.13762643281702694	2.7095419723539393	2.9618475194193117	704.63717941658	22.518297090128673	17.45671140631126	18.968569298348168	14.294131415482816	10.05122206444323	10.807151010461684	6.96609449019862	7.780494743679832	4.551839914347186	5.290869193085202	2.9091293728040215	3.2072205544266317	-1.8299999999999996	2512113.906080342	26.205498757543484	14.22329003846228	9.323156012434062	187.21410842485506	20.060088683497565	6.041840829147961	0.0	5.907179729351506	5.907179729351506	5.969305287951849	14.383611552215466	0.0	0.0	0.0	42.967260226007674	37.46156607416286	38.790465432238605	10.045266627482652	24.227001900856216	40.98554452711989	0.0	10.216698334856808	0.0	51.49050776639464	26.8061923176156	33.807819324564484	0.0	0.0	5.316788604006331	0.0	0.0	23.20187978046503	60.638135019109605	14.325937321943691	0.0	55.8066556130155	18.19910120538483	10.045266627482652	0.0	0.0	95.94	17.918325846451314	14.383611552215466	0.0	29.334907780641846	31.139849713005404	19.26246486877803	18.19910120538483	12.009707272128011	0.0	12.240525803696954	33.04527012910579	5.071586203493949	11.863964977556673	38.56907748477583	12.264054172218161	0.24485274999705053	-1.8397462285767956	3.4552219055028397	3.233304857640441	3.599610031587081	1.5936294013603163	0.5714285714285714	30	2	7	0	0	0	2	1	0	1	1	0	4	2	9	0	14	0	0	0	0	0	12.42428031437013	1	4.0119000000000025	117.18400000000005	1	0	0	0	0	0	0	0	1	1	3	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
CC(=O)N[C@@H](Cc1ccccc1)C(N)=O	11.04683626228269	11.04683626228269	0.2548785903250186	-0.634351851851852	0.7392537139575799	11.8	206.24499999999998	192.13299999999998	206.105527688	80	0	0.23984580052567048	-0.3678778944539176	0.3678778944539176	0.23984580052567048	1.3333333333333333	1.9333333333333333	2.4	16.155610923173082	10.057890098623627	2.156741923008266	-2.1336660222273203	2.022660879963978	-2.4447330374261136	5.853511142689383	-0.12568554431603415	2.1726810210939607	2.6701465380280394	348.8653710605151	11.259148545064338	8.565055246441656	8.565055246441656	7.092224152875016	4.696758977828399	4.696758977828399	3.3452012748541766	3.3452012748541766	2.0035884183291945	2.0035884183291945	1.317908617829571	1.317908617829571	-1.8399999999999999	2042.320159828323	11.235987841945288	5.143128759352535	3.80617982107163	88.46891077218831	11.050456081168516	6.041840829147961	0.0	11.814359458703011	0.0	0.0	9.589074368143644	0.0	0.0	0.0	30.33183534230805	5.563451491696996	13.344558822616634	0.0	9.589074368143644	11.814359458703011	0.0	5.316788604006331	5.733667477162185	19.386399651764595	0.0	35.89528683400505	0.0	0.0	11.050456081168516	0.0	0.0	0.0	17.85620028785097	16.00989599106965	0.0	12.487188691387619	30.33183534230805	0.0	0.0	0.0	72.19	11.949020558499466	9.589074368143644	0.0	5.907179729351506	6.4208216229260096	5.563451491696996	6.923737199690624	0.0	30.33183534230805	5.316788604006331	5.733667477162185	0.0	0.0	21.87676666036785	2.5143244520030232	6.14681783824641	-0.774273904006046	8.781318657092468	0.42634259259259255	1.362037037037037	0.0	0.2727272727272727	15	3	4	0	0	0	2	1	0	1	1	0	2	2	4	0	4	0	0	0	0	0	3.852542147309616	1	0.21909999999999996	56.94510000000002	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
O=C(O)c1ccccc1	10.200925925925926	10.200925925925926	0.33101851851851904	-0.8790740740740743	0.6106035394285076	8.88888888888889	122.12299999999996	116.07499999999997	122.036779432	46	0	0.3351782346710392	-0.47763925058011736	0.47763925058011736	0.3351782346710392	1.2222222222222223	1.7777777777777777	2.111111111111111	16.365528064874464	10.215857796790882	1.9607739027535758	-1.8765596977532837	1.9553829899343618	-1.9306285909556453	5.868348678084365	0.06966674059501056	1.9003726279897948	2.981454614041131	203.415952604261	6.69023444431199	4.7422132319119505	4.7422132319119505	4.304530452640311	2.5884145455048704	2.5884145455048704	1.671177968192922	1.671177968192922	1.0207396434199782	1.0207396434199782	0.5807298335466442	0.5807298335466442	-1.31	129.22533870330605	5.820039011703511	2.306763635550358	1.2877050319358112	52.75210108613335	5.106527394840706	0.0	0.0	0.0	0.0	5.969305287951849	0.0	4.794537184071822	0.0	0.0	18.19910120538483	12.13273413692322	0.0	5.563451491696996	9.901064578912528	5.969305287951849	0.0	0.0	0.0	0.0	0.0	35.89528683400505	0.0	0.0	0.0	0.0	0.0	0.0	11.075832682792555	0.0	0.0	10.357988675768818	30.33183534230805	0.0	0.0	0.0	37.3	5.969305287951849	4.794537184071822	0.0	0.0	5.563451491696996	0.0	0.0	30.33183534230805	0.0	0.0	5.106527394840706	0.0	0.0	10.200925925925926	8.384814814814815	0.33101851851851904	-0.8790740740740743	8.295648148148148	0.0	0.0	0.0	0.0	9	1	2	0	0	0	0	1	0	1	0	0	1	1	2	0	1	0	0	0	0	0	1.491717149964678	1	1.3848	33.4013	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COC(=O)c1ccc(O)cc1	10.820871126228269	10.820871126228269	0.13671579743008344	-0.39814814814814814	0.6143884490200855	9.181818181818182	152.149	144.08499999999998	152.047344116	58	0	0.33734605193325357	-0.5079661787854562	0.5079661787854562	0.33734605193325357	1.3636363636363635	1.9090909090909092	2.3636363636363638	16.523291157439658	10.198944383934116	2.021246807966059	-1.9681249097663729	2.0925278173430133	-1.9916929333226456	5.888228602772384	0.060050786527661604	2.0456060352867365	2.8953480359887567	250.5446100817276	8.267584713501616	6.073111253186188	6.073111253186188	5.236382105218448	3.1114705837236243	3.1114705837236243	2.0384556481391707	2.0384556481391707	1.2884023776378852	1.2884023776378852	0.7153640271100253	0.7153640271100253	-1.5099999999999998	335.4793897870248	7.595374077976819	3.0531381005525	1.7031790754529077	64.23058843003683	9.843390348640755	5.749511833283905	0.0	0.0	0.0	5.969305287951849	0.0	4.794537184071822	0.0	0.0	0.0	24.26546827384644	0.0	12.673249032974528	14.637927532712576	5.969305287951849	0.0	0.0	0.0	0.0	7.109797541277533	29.828919765543436	0.0	5.749511833283905	0.0	0.0	5.749511833283905	0.0	18.18563022407009	4.736862953800049	0.0	10.357988675768818	24.26546827384644	0.0	0.0	0.0	46.53	5.969305287951849	4.794537184071822	0.0	5.749511833283905	5.563451491696996	0.0	31.37526581512397	0.0	0.0	4.736862953800049	5.106527394840706	4.455553665910808	0.0	10.820871126228269	8.859038170823885	0.4354629629629634	-0.2614323507180647	5.8758333333333335	0.0	0.0	1.3146730914588058	0.125	11	1	3	0	0	0	0	1	0	1	0	0	3	1	3	0	1	0	0	0	0	0	2.1081569077654403	1	1.1788	39.446300000000015	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCCOC(=O)c1ccc(O)cc1	11.211010015117157	11.211010015117157	0.1454088193919547	-0.345509259259259	0.723052379328443	9.615384615384615	180.20299999999997	168.10699999999997	180.078644244	70	0	0.33762167454214054	-0.5079661787854334	0.5079661787854334	0.33762167454214054	1.3846153846153846	2.0	2.5384615384615383	16.532656242637994	10.196883657840473	2.0452295008920145	-2.016653959630507	2.098698779164891	-2.0466051189536527	5.8895978069257895	0.050488348554037527	2.1514907143306727	2.611171250638134	276.7262618127396	9.681798275874712	7.487324815559284	7.487324815559284	6.236382105218448	4.199004209041122	4.199004209041122	2.6827932154365772	2.6827932154365772	1.5402875382840657	1.5402875382840657	0.8756060058362162	0.8756060058362162	-1.5099999999999998	912.2320628762052	9.577032201914708	4.499571342364573	2.780670678629494	76.96047265883006	9.843390348640755	5.749511833283905	0.0	0.0	0.0	5.969305287951849	0.0	4.794537184071822	0.0	0.0	6.923737199690624	30.686289896772447	0.0	12.170333456209914	14.637927532712576	5.969305287951849	0.0	0.0	0.0	13.344558822616634	6.606881964512918	29.828919765543436	0.0	5.749511833283905	0.0	0.0	5.749511833283905	0.0	17.682714647305474	4.736862953800049	0.0	23.70254749838545	24.26546827384644	0.0	0.0	0.0	46.53	0.0	4.794537184071822	0.0	11.718817121235755	12.170333456209914	6.4208216229260096	24.26546827384644	0.0	6.923737199690624	0.0	9.843390348640755	4.896525888133031	0.0	11.211010015117157	8.962406226379441	0.4641203703703707	-0.2001004398673043	5.991797052154195	0.8093487811791383	2.364892106533972	0.0	0.3	13	1	3	0	0	0	0	1	0	1	0	0	3	1	3	0	3	0	0	0	0	0	3.314810741587546	1	1.9589999999999999	48.68030000000003	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCCCOC(=O)c1ccc(O)cc1	11.326939720332577	11.326939720332577	0.14824832556479417	-0.3347685185185185	0.5907863493842795	9.785714285714286	194.23	180.11799999999997	194.094294308	76	0	0.3376218438135609	-0.5079661787854334	0.5079661787854334	0.3376218438135609	1.3571428571428572	2.0	2.5714285714285716	16.53269457475779	10.195691783296224	2.0495704246326394	-2.0274382187871116	2.100685603423847	-2.0525349257458276	5.889627175379144	0.04995195489906138	2.188857824938596	2.4810725342253392	289.90588306124454	10.38890505706126	8.194431596745831	8.194431596745831	6.736382105218448	4.699004209041121	4.699004209041121	3.0363466060298503	3.0363466060298503	1.834054350942814	1.834054350942814	0.9900502841663599	0.9900502841663599	-1.5099999999999998	1497.1787522579998	10.570064051240992	5.269484963122046	3.0883626680736613	83.32541477322667	9.843390348640755	5.749511833283905	0.0	0.0	0.0	5.969305287951849	0.0	4.794537184071822	0.0	0.0	13.344558822616634	30.686289896772447	0.0	12.170333456209914	14.637927532712576	5.969305287951849	0.0	0.0	0.0	19.765380445542643	6.606881964512918	29.828919765543436	0.0	5.749511833283905	0.0	0.0	5.749511833283905	0.0	17.682714647305474	4.736862953800049	0.0	30.12336912131146	24.26546827384644	0.0	0.0	0.0	46.53	0.0	4.794537184071822	0.0	11.718817121235755	12.170333456209914	12.841643245852019	12.13273413692322	12.13273413692322	6.923737199690624	0.0	9.843390348640755	4.987775888133031	0.0	11.326939720332577	9.00046407761911	0.47120653817082414	-0.18652019295372435	6.027830215419501	1.8816283751154783	2.490675378163203	0.0	0.36363636363636365	14	1	3	0	0	0	0	1	0	1	0	0	3	1	3	0	4	0	0	0	0	0	3.9784852555179504	1	2.349100000000001	53.297300000000035	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CCCCCCCCOC(=O)c1ccc(O)cc1	11.587304850582719	11.587304850582719	0.15506865646229784	-0.3161498225833539	0.5617654346363539	10.277777777777779	250.33800000000002	228.16199999999995	250.156894564	100	0	0.33762184516460475	-0.5079661787854334	0.5079661787854334	0.33762184516460475	1.0555555555555556	1.6666666666666667	2.3333333333333335	16.532705064826594	10.125092692758427	2.0548928920515457	-2.0452465442438323	2.1085325987873054	-2.0563482180027286	5.889649766451187	0.04974302856891658	2.380545110876137	2.117836776279736	343.2612760189044	13.217332181807452	11.022858721492023	11.022858721492023	8.736382105218448	6.699004209041121	6.699004209041121	4.450560168402946	4.450560168402946	2.8340543509428144	2.8340543509428144	1.7281048753748298	1.7281048753748298	-1.5099999999999998	11169.517660230835	14.550642813826565	8.561788798033803	5.709781035948848	108.78518323081312	9.843390348640755	5.749511833283905	0.0	0.0	0.0	5.969305287951849	0.0	4.794537184071822	0.0	0.0	39.02784531432067	30.686289896772447	0.0	12.170333456209914	14.637927532712576	5.969305287951849	0.0	0.0	0.0	45.448666937246685	6.606881964512918	29.828919765543436	0.0	5.749511833283905	0.0	0.0	5.749511833283905	0.0	17.682714647305474	4.736862953800049	0.0	55.8066556130155	24.26546827384644	0.0	0.0	0.0	46.53	0.0	4.794537184071822	0.0	11.718817121235755	12.170333456209914	12.841643245852019	37.81602062862726	12.13273413692322	0.0	6.923737199690624	9.843390348640755	5.153916288737717	0.0	11.587304850582719	9.103210489410227	0.48498424536889573	-0.16108116612105605	6.1116199435084715	7.04815342174691	2.671891926766115	0.0	0.5333333333333333	18	1	3	0	0	0	0	1	0	1	0	0	3	1	3	0	8	0	0	0	0	0	6.9210850359784075	1	3.909500000000003	71.76530000000004	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
